D,[t] troubleshooting ad-500 and ad-600 no picture scrolling b/w" 
E,player[-],"do n't buy this player" 
E,product[-],"do not buy this product -- 
E,player[-],"i took perfect care of this player and still it died in the week after the lousy 90 day warranty ended" 
E,software[-],"the software is not good either and the driver has trouble working with other sound blaster products  which is very dumb" 
E,player[+],"honestly  i love this player" 
E,sound[+]battery life[-],"once again  the sound is awesome  the batterly life is only 6- hours  and that is because all my music is 320 kbps which does affect the battery life" 
E,hard drive[-],"however  my hard drive did fail  and i have not dropped it once" 
E,break[+],"because other people that complain about this player are talking bull  this player is awesome  it just breaks fast  which is horrible" 
E,player[-][u],"what a junk" 
E,freeze[-],"every time nomad thinks the file is corrupt the os freezes" 
E,sound quality[+],"the sound quality is very good" 
E,control[-]software[-],"the controls are somewhat harder to use  and there are some oddities about the software tagging system  but most people can live with this" 
E,storage[+][u],"having access to so much music where ever you go is terrific" 
E,headphone jack[-],"typically  the problem is the headphone jack -- it was for me and many others" 
E,design[-][p],"i 'm convinced by my own experience and that of many other people who have posted here who have had the same experience that the product is defectively designed  and will not hold up to normal use" 
E,headphone jack[-],"the headphone jack seems to be a major problem" 
E,front cover[-],"the one other thing i observed while i had the nomad is that the front cover  which is taken off to have access to the battery  seemed to come undone very easily" 
E,headphone jack[-],"the headphone jack failure seems to occur just about when the warrranty period is to expire" 
E,lock up[-],"the other day when i was listening to a song  it locked up and will not do anything now" 
E,hard drive[-],"in that model the hard drive just died one morning before my class" 
C,[t]the best 4mp compact digital available  
C,camera[+],"this camera is perfect for an enthusiastic amateur photographer" 
C,picture[+] macro[+],"the pictures are razor-sharp  even in macro" 
C,size[+][u],"it is small enough to fit easily in a coat pocket or purse" 
C,weight[+][u],"it is light enough to carry around all day without bother" 
C,feature[+][u],"operating its many features is easy and often obvious - i 'm no annie lebovitz  but i was able to figure out most of its abilities just messing around with it at a camera store" 
C,manual[+],"the manual does a fine job filling in any blanks that remain" 
C,auto focus[+]scene mode[+],"the auto-focus performs well  but i love having the 12 optional scene modes - they are dummy-proof  and correspond to many situations in which i would actually seek to use the camera" 
C,rechargable battery[+],"comes with a 16 mb compact flash and one rechargable battery the charging unit  included  is fast and small" 
C,camera[+],"i enthusiastically recommend this camera" 
C,camera[+][p] use[+][u] feature[+],"it 's easy to use  and yet very feature rich" 
C,auto mode[+]scene mode[+],"in the auto mode it functions basically as a point and click  the scene modes are very easy to use and produce good results" 
C,manual mode[+],"the manual mode is feature rich and i can 't wait to get the hang of it" 
C,macro mode[+]picture[+],"the macro mode is exceptional  the pictures are very clear and you can take the pictures with the lens unbelievably close the subject" 
C,battery life[+],"the battery life is very good  i got about 90 minutes with the lcd turned on all the time  the first time around  and i have been using it with the lcd off every now and then  and have yet needed to recharge it" 
C,camera[+] use[+],"i fell in love with this camera  it combines ease of use  with an immense amount of options and power" 
C,camera[+],"this camera is ideal for people who want more power  but do n't want to spend 1000s dollars on a camera" 
C,picture quality[+],"with nikon  although picture qualities are as good as any other 4 mp cameras  i 've had the following headaches ; 
C,transfer[-],"1" pictures wo n't transfer to pc directly from the camera using the included transfer cable" 
C,auto mode[-],". this camera keeps on autofocussing in auto mode with a buzzing sound which can 't be stopped" 
C,image[-],". even the slightest of the shakes totally distorts your image 
C,indoor image[-],". images taken indoor were n't so clear" 
C,lens cap[-],". lens cap is a really annoying 
C,movie[-],". the movie clips taken will always have some ' noise ' in it - you can 't avoid that" 
C,camera[+] picture[+] close-up shooting[+],"but overall this is a good camera with a ' really good ' picture clarity ; an exceptional close-up shooting capability" 
C,menu dial knob[-],"within a year  there are problems with my menu dial knob" 
C,servicing[-],"i send my camera to nikon for servicing  took them a whole 6 weeks to diagnose the problem" 
C,camera[+]customer service[-],"it is a good camera in terms of the function and quality  but take your chance with it because nikon absolutely sucks when it comes to customer service" 
C,system error[-],"got a " system error " problem 30 days after purchase" 
C,camera[-],"made the camera totally inoperable" 
C,lens cap[-],"also  the lens cap design is flawed" 
C,audio[-],"audio on video also lacking" 
C,picture[+]delay[+],"otherwise  it takes very good pictures ; shutter delay is n't so bad either" 
C,camera[+],"nikon 4300  i feel  is the best camera out there for the features and price" 
C,picture[+],"the pictures are absolutely amazing - the camera captures the minutest of details" 
C,indoor picture[-],"1" pictures taken in an indoor setting are a little dull and rarely hazy if you tend to take photographs from a distance" 
C,delay[-][u],"2" it takes a while for the camera to actually capture the photograph from the time you click the button and i have seen people becoming a little impatient waiting for the flash to glow" 
C,picture[-],"3" the pictures come out hazy if your hands shake even for a moment during the entire process of taking a picture" 
C,auto mode[+] manual mode[+] scene mode[+],"the possibilities with auto  manual  and the very helpful " scene " mode  which offers 11 optimized situational settings like portrait  landscape  beach / snow  sunset etc.  are endless" 
C,movie mode[+],"the movie mode is also working great" 
C,software[+],"the 4300 comes with excellent easy to install software i use it on xp and win98 without problem  battery charger  usb and video cable" 
C,print[+],"i experimented with online print ordering with the two major us brick and mortar retailers  and they both delivered great results" 
C,print[+],"even at the " normal " setting  a 8x10 print ! shows not a single sign of visible rendering or pixels - you could never tell that the picture has been taken by a " digital "" 
C,battery life[+],"the battery life is ok  but can be somewhat short when working a lot with the monitor on" 
C,camera[+],"over all a fantastic very compact camera  which made us experience photography on a totally new level ! 
C,picture[-],"focusing on a display rack about 20 feet away in a brightly lit room during day time  pictures produced by this camera were blurry and in a shade of orange" 
C,picture[+],"after nearly 800 pictures i have found that this nikon takes incredible pictures" 
C,digital zoom[+]optical zoom[+],"the digital zoom takes as good of pictures  as the optical zoom does ! 
C,picture[-],"the inside pics  can be a bit challenging  but when you can instantly delete pics you dont like  that are not focused perfectly  or need lighting adjustments  make this camera very simple and effective" 
C,feature[+],"i love all of the features  and presets as well" 
C,sunset feature[+],"sunset feature takes incredible pics in the morning  and the evening ! 
C,software[+],"the software you get with this camera is perfect" 
C,touchup[+] redeye[+],"touchups  redeye  and so on are very easy to alter  and correct" 
C,battery life[+],"battery life is good  although i recommend two rechargebles  or a alkaline backup  for those emergency pics you have to have" 
C,camera[+],"all and all  i am extremely pleased with this camera" 
C,camera[+],"great camera  great investment ! 
C,use[+][u]quality[+]size[+],"the nikon coolpix 4300 is wonderful -- easy to use  high quality  and compact in size" 
C,auto setting[+],"the auto setting does a great job most of the time but there are manual settings for those who want them" 
C,camera[+][p],"it has many great features and very few bad ones" 
C,picture[+]ease of use[+],"it takes excellent pics and is very easy to use  if you read the manual" 
C,lcd[-],"the only things i have found that i havent liked is that the lcd is hard to read in daylight but everyone elses is too" 
C,download[+],"downloads are a snap and quick" 
C,control[+],"controls easy yo use and easy to get to" 
C,camera[+],"i 'm extremely glad i bought this camera" 
C,camera[+],"really happy with this little camera" 
C,size[+][u],"it is n't big and offensive  though you would n't know it by looking at the pics it takes" 
C,picture[+]print[+],"settings for just about everything  beautiful pics and beautiful prints" 
C,zoomed image[+],"i expected the 12x digital zoom to be grainy  but onfull size high to fine quality  the zoomed images are quite impressive" 
C,camera[+],"still  at least from my perspective  a great camera for the money  and i 'm a happy camper ! 
C,camera[+],"this is a wonderful camera" 
C,4mp[+]optical zoom[+],"4 mp gives you room for the future gaining experience ; cost offsets over time from wanting more in a camera  3x optical and the fact that it carries nikon 's quality reputation behind it make the whole package prove itself worthwile at the price" 
C,picture[+],"one neat thing - i have taken some pictures in what i thought would be impossible lighting conditions pitch black rooms - no problem for the camera - rooms looked like they had ample lighting" 
C,camera[+],"this little camera has created a marriage between myself and nikon. never knew i could love a digital camera so much" 
C,software[+] online service[+],"the software that comes with it is amazing and the online service that comes free is really very neat. clean clear and well focused on over 95 % of all photos taken by a beginner" 
C,photo[+],"just point and shoot and the photos were great" 
C,memory card[+],"the memory card fit nicely since i also have a pocket pc and it automatically installed a picture software on my pda wolla" 
C,camera[+],"if you have to buy a camera on a buget this has got to be the one" 
C,camera[+],"great camera  i have been using this for several months and got excellent results  simple friendly usage  in many scenes indoor  outdoor  snow  close up macro etc. 
C,camera[+] feature[+],"this is my first digital camera and i can say that i am quite impressed with the features that it has" 
C,use[+][u],"it is easy enough to use for a beginner like me but it has plenty of features for me to grow into" 
C,macro[+],"i particularly like the way it aids me in taking my macro shots" 
C,picture quality[+],"my friends were impressed with the quality of the pictures i took ! 
C,autofocus[-],"one downside though is that autofocus does not work well when battery is low" 
C,battery life[+],"battery life is ok" 
C,camera[+],"great camera  and for the price you can 't beat it" 
C,control[+],"i found the controls very intuitive and learned how to manuver through the menus quickly" 
C,quality[+],"the quality is superb" 
C,size[+],"the small size is perfect for my little hands  but may perhaps be uncomfortable or awkward for a bigger person" 
C,nikon 4300[+],"the 4300 is a very durable  compact package  and i find nikon to be a brand that i can trust" 
C,battery[-],"it comes with a rechargable battery that does not seem to last all that long  especially if you use the flash a lot" 
C,auto-focus assist light[-],"it does not have an auto-focus assist light which is nice for taking shots in low-light situations it allows the camera to focus in low light" 
C,optical zoom[-],"it has a 3x optical zoom  which is average for these cameras" 
C,camera[+],"it really is an awesome camera that is hard to beat for general-to moderate snapping" 
C,macro[+],"they take excellent macro shots as well" 
C,menu[+],"the menus and features are easy to manipulate and access  and it takes silent movies" 
C,camera[+],"i compared this to a lot of other cameras  believe me  it 's value for money" 
C,picture[+],"the picturers are amazing" 
C,picture quality[+]function[+],"recently bought this coolpix 4300 along with a 256mb ultra flash card" as expected  i happily found that qualities of the picture are excellent with 3m-m pixel / fine combos and many of the user-friendly functions are very similar to slr models  and with added convenience of a digital camera that you can see pictures immediately" 
C,txt file[+],"i particularly like the " txt " file which records all the control information for all the pictures you take. 
C,size[+][u],"the compact digital camera is especially useful if you have little children around and you can always take the camera with you and take many pictures of them" 
C,nikon[+],"a nikon will make you happier and leave you lots of good memories  as always" 
C,camera[+]picture[+],"i highly recommend this camera to anyone looking for a good digital camera that takes great pictures yet does n't take weeks to figure out how to operate" 
C,picture quality[+],"we take this camera with us everywhere and are constantly amazed at the quality of the pictures that we get and the number of different ways the camera allows for pictures to be taken" 
C,camera[+],"i am a picture fanatic so i consider myself picky and if your the same way this camera will not let you down.now buy it ! 
C,camera[+],"i have it for a week now  and this camera has exceeded my expectations" 
C,picture[+]indoor shot[+],"the daylight pictures are brilliant and the indoor shots are very good provided that your subject is no more than about 8 feet away" 
C,image download[+][u],"uploading the images to my windows-based pc is very fast and simple" 
C,indoor shot[-],"the only drawbacks i 've encountered are , 1 indoor shots from a distance > 8ft lack contrast and color  but i 've found this to be a problem with all cameras with built-in flashes that i 've used even on a nikon slr" 
C,battery life[-],"2 the battery life seems to be on the short side but adequate for most situations" 
C,software[-],"3 the picture editing software it came with is adequate  but not very robust" 
C,camera[+],"in summary  i love this camera and would whole-heartedly recommend this to anyone wanting a high quality point and shoot camera in the medium price range" 
C,camera[+],"great camera" 
C,use[+],"i am impressed with how easy this camera is to use" 
C,picture[+],"it takes great pictures" 
C,manual[+],"the manual is easy to understand  and it is mostly idiot proof" 
C,size[+][u],"it is small  unlike my canon slr  so it easily fits in my pocket" 
C,[t]best 4-mp camera of its size and price range 
C,camera[+],"i got this camera about a month ago and i can 't put it down" 
C,picture quality[+],"i selected the 4300 right away and have gotten high quality pictures every time" 
C,autofocus[+]scene mode[+]manual mode[+],"autofocus feels exactly like my film camera while scene and manual mode add a little fun challenge to it all" 
C,camera[+][p],"i have not been disappointed with my purchase" 
C,picture quality[+],"picture quality in outdoor settings is indistinguishable from 35mm" 
C,indoor shot[-],"on average  indoor shots with a flash are not quite as good as 35mm" 
C,camera[+],"i am extremely satisfied with this camera" 
C,scene mode[+],"the " scene " mode works well for the remainder of shots that are not going to be in a " regular " setting" 
C,optical setting[+],"however  its 3x optical setting is acceptable for 70 % of the shots that i take" 
C,camera[+],"if you 're looking for a small  compact  super resolution digital camera  you can end your search with the nikon 4300 ! 
C,picture quality[+],"after a lengthy and extensive journey for a feature-loaded  high performance  travel size camera  i initially gravitated to this little gem because of the superior picture quality 4 mega pixel" 
C,nikon[+],"after using it for about a month  i can state unequivocably that this nikon definitely delivers a huge bang for the buck" 
C,use[+] accessory[+],"its easy to use and the sheer fun of being able to use an array of nikon accessories like the telephoto and wide-angle lenses is the proverbial icing on the cake" 
C,picture quality[+]feature[+],"yes  the picture quality and features which are too numerous to mention are unmatched for any camera in this price range" 
C,design[+]construction[+]optic[+],"the design and construction are excellent -- as is the legendary quality of the nikon optics" 
C,camera[+],"there are so many functions in this little  yet powerful camera ! 
C,camera[+][p],"seriously ! i love it ! 
C,camera[+],"but this camera is great ! 
C,picture quality[+]movie[+],"the picture quality is amazing and you can connect it to your tv and could make silent movies that way if you wanted to" 
C,lense cap[+],"it does have a lense cap  but it wo n't let you take pics with it on which is real good" 
C,battery[+],"the battery recharges ral fast and the recharger thingy that comes with is real nice" 
C,camera[+],"ooh  and i dropped it and it still works fine , this little camera has so many features i have n't even gotten to all of them yet" 
C,use[+]feature[+] camera[+],"it 's easy for beginners to use  but has features that more serious photographers will love  so it 's an excellent camera to grow into" 
C,weight[+] picture[+][u],"it 's light weight enough to take with you everywhere  but powerful enough to get outstanding pix" 
C,continuous shot mode[+],"i love the continuous shot mode  which allows you to take up to 16 pix in rapid succession -- great for action shots" 
C,photo quality[+]print[+],"i 'm amazed at the photo quality -- prints are indistinguishable from 35mm prints" 
C,8mb card[-],"i only have one complaint  and that is the 8mb card included" 
C,8mb[-],"8mb for a camera like this is a joke" 
C,feature[+],"1 it has all the features an amatuer photo-enthusiast would want" 
C,use[+],"2 it is easy enough for my grandmother to use" 
C,size[+][u]control[+],"3 it is very compact but the controls are so well designed that they 're still easy to use" 
C,nikon support[+],"6 the nikon coolpix line is a well-established line so you know support and parts are going to be available even when nikon releases a newer model" 
C,picture quality[+],"7 picture quality is excellent" 
C,battery life[+],"8 battery life is excellent" 
C,optical zoom[+],"9 3x built-in optical zoom is a lot for this price range" 
C,price[+],"10 great price for all the features" 
C,firewire[-],"1 no direct firewire to the camera" 
C,viewfinder[-],"2 the camera is so small that when you attach some lenses i have the 19mm wide-angle -- wc-e 68  the optical viewfinder is partially obscured" 
C,price[+][u]learn[+]image[+],"this camera was affordable  very easy to learn  and produces spectacular images" 
C,auto mode[+]scene mode[+]manual mode[+],"the auto-mode is good enough for most shots but the 4300 also boasts 12 versatile scene modes as well as a manual mode though i admit i have n't played with it too much on manual" 
C,size[+],"it 's size also makes it ideal for travel" 
C,camera[+],"overall the nikon 4300 is a very dependable  robust  and useful little camera" 
C,camera[+] print quality[+],"awesome camera with huge print quality in a tiny package" 
C,closeup mode[+] battery[+],"the same 4mp chip from the 4500 camera  plus a 3x zoom with the ability to expand upon that with extenders  great closeup mode  long lasting rechargable battery  etc etc. 
C,camera[+],"in my opinion it 's the best camera for the money if you 're looking for something that 's easy to use  small good for travel  and provides excellent  sharp images" 
B,phone[+] work[+],"there is much which has been said in other reviews about the features of this phone  it is a great phone  mine worked without any problems right out of the box" 
B,at&t customer service[-],"after several years of torture in the hands of at&t customer service i am delighted to drop them  and look forward to august 2004 when i will convert our other 3 family-phones from at&t to t-mobile ! 
B,signal quality[+],"i have had the phone for 1 week  the signal quality has been great in the detroit area ( suburbs ) and in my recent road trip between detroit and northern kentucky ( cincinnati ) i experienced perfect signal and reception along i-5  far superior to at &#38; t 's which does not work along several long stretches on that same route" 
B,speaker phone[+]radio[+]infrared[+],"my favorite features  although there are many  are the speaker phone  the radio and the infrared" 
B,speaker phone[+],"the speaker phone is very functional and i use it in the car  very audible even with freeway noise" 
B,infrared[+],"the infrared is a blessing if you have a previous nokia and want to transfer your old phone book to this phone  saved me hours of re-entering my numbers" 
B,sprint[-],"the day finally arrived when i was sure i 'd leave sprint" 
B,sprint plan[-]sprint customer service[-],"after years with that carrier 's expensive plans and horrible customer service  portability seemed heaven-sent" 
B,size[+][u] sturdy[+],"here 's the brief synopsis , the phone is tiny  cute  feels kind of " plastic-like " ( as if it might break )  but seems pretty sturdy" 
B,game[+]pim[+]radio[+],"it has lots of little cute features  my favorite being the games and the pim ( personal information manager -- i.e. organizer )  and the radio ! 
B,reception[-],"i spent hours setting up the stations ( accepts about 13-4  i believe )  though the reception is unpredictable" 
B,sound volume[+] ear[-],"the headset that comes with the phone has good sound volume but it hurts the ears like you cannot imagine ! 
B,ringtone[+]background[+]screensaver[+]memory[-],"the phone comes with okay ringtones  some decent backgrounds / screensavers  but the phone has very little memory ( mine had 230kb as it arrived from amazon  so you do n't have too many options on what you can put on there )" 
B,color[-],"the colors on the screen are not as crisp as i 'd have liked them to be" 
B,backlight[-],"the backlight on the phone goes off way too quickly ( dangerous when you 're driving at night )  and there 's no way to change this -- 
B,button[-],"the buttons on the phone are small  even for my small fingertips  but you get used to them rather quickly" 
B,menu options[-],"the menu options are uncreative  as you can 't see a full screen of menu items to pick from ; you have to scroll up and down to find what you 're looking for ( yes  this is minor  but not when you 're trying to keep your eye on the road ! )" 
B,volume[-],"the volume" 
B,volume[-],"i have excellent hearing but the volume level on this phone is especially quiet" 
B,battery life[+],"on the up-side  the phone has amazing battery life" 
B,phone[+],"i do like this phone overall ( would give it a 3.5 )  but unforutnately  i am returning it" 
B,t-mobile reception[-],"i assumed they had exceptional service  but their reception in my area ( los angeles ) is horrendous" 
B,t-zone[-],"also  their t-zones  although cheap ( $ 4.99 / mo. ) never works" 
B,customer service[-],"since i received the phone  i spent countless hours on the phone with customer service reps who promised t-zones would work " in 24 hours "" 
B,t-zone[-],"i must have heard this about a dozen times over the span of 2 weeks  when t-zones never worked" 
B,t-mobile[-],"apparently  t-mobile is heavily back-logged and can 't keep up with demands" 
B,customer rep[+],"in all fairness  customer reps are very nice  and they ( most of them ) try hard to answer your questions" 
B,csr[+],"t-mobile is trying very hard  and again -- they do have pretty good csr 's" 
B,call[-],"however  the calls constantly drop in my area and i experince mega-static  to the point where i 'd have to dial numbers 6- times to get a clear line" 
B,sprint[+],"i 'm staying with sprint  and though i fear that their csr is n't nearly as good as t-mobile 's  the clarity of their reception is exceptional" 
B,phone performance[+],"while i like the performance of the phone in every regard  i would buy another one solely upon the apparent indestructibility of it" 
B,nokia[+],"i highly recommend a nokia 6610" 
B,feature[+],"no other color phone has the combination of features that the 6610 offers" 
B,speakerphone[+],"from the speakerphone that can be used up to 15 feet away with clarity  to the downloadable poly-graphic megatones that adds a personal touch to this nifty phone" 
B,radio[+],"whether you 're taking a brisk jog  waiting for a bus or just having lunch at the park  you 'll be glad you had the fm radio" 
B,battery[+],"i treat the battery well and it has lasted" 
B,volume[-],"the volume level of the phone is not all that good" 
B,ring[-],"some of the higher pitched rings are very easy to hear  but not easy to listen to" 
B,tone[-],"the more subtle tones that were included with the phone are hard to hear at times" 
B,vibration[-],"the vibration is not top" 
B,phone[+],"overall this has been my favorite phone that i have owned" 
B,battery life[+]size[+]volume[-][u],"great battery life  perfect size  but a tid bit quieter than i would like" 
B,look[-][u],"i am bored with the silver look" 
B,color screen[+],"it has a nice color screen" 
B,size[+][u],"it is small" 
B,radio[+] radio[-],"radio is awsome  but it does n't work unless you have the earpice in" 
B,t-mobile[+],"t-mobile was a pretty good server" 
B,game[-][p],"they are not wowable good" 
B,voice dialing[-],"it also does n't have voice activated dialing" big minus ! ! 
B,phone[+]warranty[-],"this is a very nice phone  but there is no warranty on it" 
B,phone[-],"we got two phones for the t-mobile family plan ( indeed very easy to switch to the family plan ) and one came with a broken headphone ( can hear but cannot be heard ) and one died today after less than two weeks of use" 
B,message[-],"when i got it home  i discovered that the menu options for sending messages via either text or email simply were n't there , 
B,sound quality[+] fm[+] earpiece[+],"while i had the phone  the positive features were , good sound quality and an excellent fm phone and earpiece" 
B,size[-][u] operate[-][u] button[-],"negative , impossibly tiny and difficult to operate  barely visible  power button" 
B,key[-],"poor visibility on the keys" 
B,speakerphone[+] reception[+],"the two biggest things is the excellent working speakerphone " unlike the nokia 3650 " and the superb reception nokia is known for in the gsm phones they make".. 
B,camera[-],"only con i can think of is no camera".." 
B,phone[+],"this phone is a winner".. 
B,phone[+],"anything this phone does  it does perfectly" 
B,speakerphone[+]radio[+],"the speakerphone  the radio  all features work perfectly" 
B,speakerphone[+],"this phone has a very cool and useful feature -- the speakerphone" 
B,speakerphone[+][p],"as said before this works perfectly" 
B,volume[+],"you can adjust the volume to be heard anywhere or so that it does n't make that big of a disturbance" 
B,speakerphone[+][u],"the person on the other end of the call can hear you perfectly" 
B,speakerphone[+][u],"you can be up to about 3 feet away from it and it will still work perfectly" 
B,speakerphone[-],"only one complaint about the speakerphone  you can only activate the speakerphone feature once the person you are calling answers the phone  not while it is ringing" 
B,radio[+],"this phone is one of the few phones that have an fm radio tuner built in" 
B,radio[+],"this radio receives fairly decent reception but not nearly as good as a normal radio  but as long as the stations are coming in clearly the phone 's radio should work perfectly" 
B,phone[+],"i bought this phone for my trip to south africa and it worked almost perfectly" 
B,t-mobile[-],"the only problem i had was a small glitch with t-mobile" 
B,reception[+],"anywhere i went in south africa this phone received full bar reception" 
B,phone[+],"another benefit of this phone is that it is truly an international phone ; the 6610 is sold in almost everywhere in the world" 
B,phone[+],"this means that there is a good chance that this phone will not break easily like typical american phones" 
B,size[+]weight[+],"when you put this phone in your pocket you forget it is there ; it is unbelievably small and oh  so light" 
B,size[+],"this is a benefit for many reasons ; one being just for appearance  your pants wo n't be bulging with this phone in your pocket" 
B,battery life[+],"the battery life on this phone is surreal" 
B,battery[+],"i 've used the speakerphone for almost two hours once and the battery did not even go down one single bar" 
B,battery[+],"it is amazing that the battery lasts so long when the phone is so small and light" 
B,phone[+],"this phone has many other features  ir  ; just to name one  the features above i view as the most beneficial" 
B,bluetooth[-]high speed internet[-],"the phone has a few minor inconveniences  but only because it lacks those features  bluetooth and high spend internet  but there are very few problems with things that you expected this phone to do" 
B,phone[+],"overall  i highly recommend this phone" 
B,phone[+],"it is a perfect phone in such a small and appealing package" 
B,size[+],"size - extremely small and convenient will fit in your pocket and not bother you" 
B,ringing tone[+]radio[+],"sound - excellent polyphonic ringing tones are very nice ( check cons ) it also doubles as a radio  which is a nice feature when you are bored" 
B,speakerphone[+],"speakerphone - loud and clear has some nice extra features like currency converter and a stopwatch" 
B,web[+],"surfing the web on it is nice as well  i just wish there were more wap pages available" 
B,ring tone[-],"ring tones only come with crazy songs and annoying rings  there is only one ring that sounds close to a regular ring" 
B,screen[-],"the screen is easily scratched but if you have the warranty you should be able to swap it out" 
B,game[-],"games kind of stink and you cant download them you have to get the link cable to get additional games" 
B,phone[+]size[+],"nice little phone".. light compact"" 
B,button[-],"buttons do seem a little sticky tho". and the hands free kits ' connector might be a problem". 
B,wireless telephone[+],"although the nokia 6610 is a little short on the features department  it is an outstanding piece of hardware for doing what it was primarily meant to do , to be a wireless telephone" 
B,reception[+]sound quality[+],"the reception and sound quality are top-notch" 
B,size[+]weight[+],"i like the size and weight of this little critter" 
B,size[+][u],"i am able to carry it close to my body  in places where other phones are not so easily concealed" 
B,layout[-],"the keys are close together  and the layout is a bit funky in relation to standard rectangular layout keypads  but it 's not too weird" 
B,key[-],"the fact that the " 0 " key is the space key for text input is a bit confusing  as many phones use the " # " key instead" 
B,screen[+],"the screen is bright  easy to see in the daylight  with nice colors" 
B,picture[+],"it receives very nice mms pictures from other gsm phones" 
B,user interface[-],"there are some features in the user interface that i find a little inconvenient" 
B,menu option[-],"the menu options appear one at a time  taking up the whole screen  and one has to scroll down one by one  or have memorized where they are in the menu order  to select them by using the number keypad" 
B,vibrate setting[-],"the vibrate setting is loud ! 
B,vibrate setting[-][p],"so loud  really  that it does n't work terribly well as a silent ringer option" 
B,ringer[+],"but  then again  the ringer can be so loud that i heard it ringing inside my office  when i was already out on the street"." 
B,voice dialing[-]headset jack[-],"other things that i miss are voice-activated dialing and a standard 2.5 mm headset jack" 
B,weight[+] design[+],"- light  compact design 
B,construction[+],"- solid  high-quality construction 
B,keypad[+],"- well-backlit keypad 
B,reception[+],"- outstanding signal reception 
B,sound quality[+],"- excellent sound quality 
B,screen[+],"- bright  visible screen 
B,speakerphone[+],"- speakerphone 
B,battery life[+],"- very long-lasting battery life 
B,user interface[-],"- some features in the user interface 
B,voice dialing[-],"- no voice activated dialing ( what were they thinking 
B,picture[-] ringtone[-],"- no option for caller-id pictures or individualized ringtones" 
B,headset jack[-],"- no propietary headset jack 
B,phone[+],"one of the best cell phones i have ever used to-date" 
B,speakerphone[+],"i like the speakphone function a lot" 
B,quality[+]durability[+],"i am very pleased with its quality and durability" 
B,key lock[+],"i like the automatic key lock function" 
B,weight[+],"the phone is very light weight" 
B,screen[+] ring tone[+],"the screen is bright and ring tones are unlimited" 
B,fm radio[+],"the fm radio is cool" 
B,nokia[+],"while going for a cellphone  i was fully determined to buy a nokia only as it is the best in cellphones" 
B,phone[+],"and really this is the best phone one could have" 
B,feature[+],"it has all the features one would need in a cellphone" 
B,weight[+]phone[+],"it is lightweight  sleek and attractive" 
B,phone[+] menu[+],"this phone is very user-friendly  easy to manipulate &#38; very convenient to scroll in menu etc" 
B,radio[+],"it has fm radio option and i can listen to music anytime" 
B,speakerphone[+],"its speakerphone option allows us to do long talks conveniently  lying on bed &#38; phone lying by your pillowside" 
B,wallpaper[+]tune[+],"it comes equipped with lot of wallpapers and polyphonic sweet tunes" 
B,camera[-],"only if we could get one camera in it"" 
B,phone[+],"i am enjoying my phone a lot"... 
B,size[+],"small size" 
B,size[+][u],"i love the fact i can carry it in my shirt or pants pocket and forget about it" 
B,color screen[+],"color screen is good" 
B,calendar[+],"it has lots of features such as the calendar which works like my outlook calendar" 
B,key[+],"the keys are laid out normal so there is no guessing" 
B,menu[+],"navigating through the menus is super easy  especially if you have owned a previous model nokia phone" 
B,battery life[+],"battery life is very good  i use it every day and i have to charge it every 5 or 6 days or so" 
B,volume key[-],"the volume key can be hard to press  but i think this may be by design rather than a flaw  perhaps to keep you from pressing it accidentally when you are in a call" 
B,pc cable[-],"pc cable is too expensive".. $ 50 for a usb cable ? 
B,sound quality[+],"nokias have always had good sound quality and this is no exception" 
B,loud phone[+],"the loud speaker function on the 6610 is great because you do n't need to put your phone right next to your ear to talk" 
B,size[+][u],"i like my phones to be small so i can fit it in my pockets" 
B,radio[-],"the 6610 has the radio function which is utterly useless" 
B,application[-],"it also has a stock tracking app built in ( also useless ) and a somewhat useful application which converts all types of metrics ( currency  length  area  etc )" 
B,software[-],"regarding pc software support nokia suite does not work with some versions of xp as i tried to connect my phone via infrared port on my laptop" 
B,phone[+],"overall this is a slightly better than average phone" 
B,phone[+],"this is the best phone i have seen" 
B,[t]i bought 2" 
B,phone[+],"the phones are awesome" 
B,battery life[+][u]reception[+] application[+],"we hardly ever have to charge them  get great reception ( live in chicago )  and the customization and applications are awesome" 
B,pc suite[+],"you can do , so , much more with the pc suite  i.e. free ringtones from midi files  free graphics from any picture on your computer  and if you know how to program jme you can even make your own apps / games" 
B,sound quality[+],"the phone 's sound quality is great ( turn up the volume if its too quiet  people  this thing will get loud ) i dont have any complaints about this phone and the only thing that i miss from my 8290 is voice dialing" 
B,[t]nokia 6610 great for games and ringtones" 
B,phone[+],"i bought this slick phone and i am very happy with it" 
B,size[+][u]game[+]ringtone[+],"nice and small and excellent when it comes to downloading games  graphics and ringtones from www.crazycellphone.com 
B,[t]nokia 6610" 
B,phone[+],"i just purchased this phone and i think this is the coolest phone i ever had" 
B,radio[+],"the features are really cool like the radio" 
B,radio[+],"the first night i got this phone i put it next to me when i went to bed just to listen to my favorite music station and the handset itself doesnt weight anything its too light and feel so comfy with it" 
B,speaker[+],"technology wise  i think this is awesome plus the speaker makes it even great ! ! ! ! i love this phone ! ! ! 
B,phone[+]gsm[-],"i thought this was the ultimate phone when it comes to basic features  but i was dissapointed when i saw that it was only a gsm comaptible phone" 
B,phone[+],"for a specific location  i still think its a great phone" 
